Super District,Facility Type,Total,HPMS MD VMT,MD Ratio (2025/2003),Adjusted MD VMT,HPMS HV VMT,HV Ratio (2025/2003),Adjusted HV VMT
Box Elder,Freeway,951412.111299998,116520.34879999976,0.6410762313395703,74698.42608307606,136651.08739999973,0.8375387583472206,114450.5820677933
Box Elder,Principal Arterial,468572.2795000002,43339.48460000001,0.6262370788595489,27140.792235182413,44009.1292,0.6328405725810866,27850.76252172302
Box Elder,Minor Arterial,81104.8449,5436.4710000000005,0.6389648067616462,3473.713641980294,5373.779,0.512683032899387,2755.045315851035
Box Elder,Collector,35568.7833,210.12300000000005,0.6240689117173183,131.1312319367781,968.2695,0.4879156314585926,472.43382451459576
Box Elder,Total,1536658.0189999982,165506.42739999978,0.6370995063372124,105444.06319217554,187002.26509999973,0.778219577458381,145528.82372988193
Davis,Freeway,4182251.0092000095,302491.3659000008,0.6410762313395703,193920.0248639315,283872.9850000008,0.8375387583472206,237754.62738521985
Davis,Expressway,486815.2455,44738.9946,0.6477725663070867,28980.69334604089,43932.1404,0.7100503846806122,31194.03319086266
Davis,Principal Arterial,1359698.916699995,111271.42019999956,0.6262370788595489,69682.28914660114,52982.93819999988,0.6328405725810866,33529.75294751625
Davis,Minor Arterial,827752.9022,33548.6133,0.6389648067616462,21436.383214355694,24305.9703,0.512683032899387,12461.258570966424
Davis,Collector,762161.4688,3234.8201,0.6240689117173183,2018.7506594083065,2590.7493,0.4879156314585926,1264.0670806604069
Davis,Total,7618679.542400004,495285.21410000033,0.6380932283727089,316038.1412303375,407684.7832000007,0.7756083920848804,316203.7391752256
Salt Lake,Freeway,11342593.074899994,842482.3086999994,0.6410762313395703,540095.383431656,520266.2634999997,0.8375387583472206,435743.1603417376
Salt Lake,Expressway,806890.9235999996,90924.22099999996,0.6477725663070867,58898.21597664268,38024.07949999998,0.7100503846806122,26999.012276101166
Salt Lake,Principal Arterial,7458543.574399997,804546.7248,0.6262370788595489,503836.9907447694,307564.24039999995,0.6328405725810866,194639.13000020295
Salt Lake,Minor Arterial,3374728.6139,30268.4866,0.6389648067616462,19340.497691336477,6587.405099999999,0.512683032899387,3377.250825604889
Salt Lake,Collector,2657433.6133,3564.2127,0.6240689117173183,2224.3143408180445,2578.0256,0.4879156314585926,1257.8589885404172
Salt Lake,Total,25640189.80009999,1771785.9537999993,0.6346113083093926,1124395.4021852226,875020.0140999997,0.7565728803507459,662016.412432187
Utah,Freeway,6002607.20080001,518571.01720000064,0.6410762313395703,332443.5533885039,435113.09990000055,0.8375387583472206,364424.0854308566
Utah,Principal Arterial,3608078.9900000026,375021.9031000004,0.6262370788595489,234852.62110569308,214136.00890000025,0.6328405725810866,135513.9544825048
Utah,Minor Arterial,1363857.4069,64923.17760000001,0.6389648067616462,41483.62562953604,41738.6857,0.512683032899387,21398.715973910275
Utah,Collector,1120321.6058,15641.9409,0.6240689117173183,9761.649034609609,10508.114,0.4879156314585926,5127.073077748877
Utah,Total,12094865.203500012,974158.038800001,0.6349497971810424,618541.4491583427,701495.9085000008,0.7504873835839628,526463.8289650206
Weber,Freeway,1497565.2355999982,142454.97489999977,0.6410762313395703,91324.49844446493,170847.05419999972,0.8375387583472206,143091.02964194806
Weber,Principal Arterial,1442881.0182000017,148759.22660000014,0.6262370788595489,93158.5435193898,76723.75920000003,0.6328405725810866,48553.90770270143
Weber,Minor Arterial,618181.0357,48092.7465,0.6389648067616462,30729.57247400934,48191.8045,0.512683032899387,24707.120491954327
Weber,Collector,608745.8674,1479.2154,0.6240689117173183,923.1323448734977,534.4146,0.4879156314585926,260.7492370196912
Weber,Total,4167373.1569,340786.1633999999,0.634226884760714,216135.74678273758,296297.03249999974,0.7310664074019158,216612.8070736235
