State,Interstate_SU_Pct,Interstate_Comb_Pct,OtherArterial_SU_Pct,OtherArterial_Comb_Pct
Utah,9.20,8.32,11.15,5.11
Idaho,3.49,9.43,2.43,1.53
Wyoming,2.67,30.16,3.18,2.60
Colorado,3.13,5.14,1.98,1.52
Arizona,4.49,8.28,3.99,1.68
Nevada,6.70,16.58,1.58,2.16
